London Postcode,Areas covered,Avg property price
W5,Ealing," 679,155.00 "
W6,Hammersmith," 828,790.00 "
W7,Hanwell," 538,358.00 "
W8,Kensington," 1,949,475.00 "
W9,"Maida Vale, Warwick Avenue"," 800,133.00 "
W10,"Ladbroke Grove, North Kensington"," 760,991.00 "
W11,"Holland Park, Notting Hill"," 1,446,853.00 "
W12,Shepherd’s Bush," 678,661.00 "
W13,West Ealing," 671,452.00 "
W14,West Kensington," 842,460.00 "
EN,Enfield," 418,361.00 "
HA,Harrow," 460,408.00 "
